input_domain,naics_domain,flag_conference,flag_alexa,flag_yahoo,ecid,ind,ind_score,naics_2,naics_2_desc,naics_4,naics_4_desc,naics_6,naics_6_desc,naics_6_score,jj_corrections
ceifx.com,ceifx.com,null,null,1,1076554403,Financial Services,0.987617075,52,Finance and Insurance,5231,Securities and Commodity Contracts Intermediation and Brokerage,523130,Commodity Contracts Dealing,0.999000132,
symantec.com,symantec.com,null,null,1,1077061829,Computer Network & Security,0.780554235,51,Information,5112,Software Publishers,511210,Software Publishers,0.998816252,
workday.com,workday.com,null,null,1,1075111844,Computer Software,0.604720414,51,Information,5112,Software Publishers,511210,Software Publishers,0.998734534,
americanrenal.com,americanrenal.com,null,null,1,1074556472,Hospital & Health Care,0.966925442,62,Health Care and Social Assistance,6214,Outpatient Care Centers,621492,Kidney Dialysis Centers,0.998577952,
fmc-ag.com,fmc-ag.com,null,null,1,1075134973,Hospital & Health Care,0.95025599,62,Health Care and Social Assistance,6214,Outpatient Care Centers,621492,Kidney Dialysis Centers,0.998196185,
sage.com,sage.com,null,null,1,1073999673,Computer Software,0.849012375,51,Information,5112,Software Publishers,511210,Software Publishers,0.998067677,
splunk.com,splunk.com,null,null,1,1076036482,Computer Software,0.72127378,51,Information,5112,Software Publishers,511210,Software Publishers,0.997971952,
postnl.com,postnl.com,null,null,1,1078653003,Logistics and Supply Chain,0.955087721,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.99790895,
51job.com,51job.com,null,null,1,1076692288,Human Resources,0.887640059,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541612,Human Resources Consulting Services,0.997812271,
citrix.com,citrix.com,null,null,1,1076372843,Information Technology and Services,0.537332892,51,Information,5112,Software Publishers,511210,Software Publishers,0.997127712,
sykes.com,sykes.com,null,null,1,1075199812,Outsourcing/Offshoring,0.977308929,56,Administrative and Support and Waste Management and Remediation Services,5614,Business Support Services,561422,Telemarketing Bureaus and Other Contact Centers,0.997072458,
state.gov,state.gov,null,1,null,1076668640,International Affairs,0.799991548,92,Public Administration,9281,National Security and International Affairs,928120,International Affairs,0.996859551,
microsoft.com,microsoft.com,null,1,null,1074091551,Computer Software,0.745117605,51,Information,5112,Software Publishers,511210,Software Publishers,0.996857286,
oracle.com,oracle.com,null,1,1,1074036516,Information Technology and Services,0.812566698,51,Information,5112,Software Publishers,511210,Software Publishers,0.996807694,
sap.com,sap.com,1,null,1,1075623800,Information Technology and Services,0.752289891,51,Information,5112,Software Publishers,511210,Software Publishers,0.996803761,
ansys.com,ansys.com,null,null,1,1075416987,Computer Software,0.468456209,51,Information,5112,Software Publishers,511210,Software Publishers,0.996548951,
naukri.com,naukri.com,null,1,null,1075511717,Human Resources,0.485261172,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541612,Human Resources Consulting Services,0.996441782,
pega.com,pega.com,1,null,1,1077139702,Computer Software,0.860042632,51,Information,5112,Software Publishers,511210,Software Publishers,0.996385694,
kamigumi.co.jp,kamigumi.co.jp,null,null,1,1079956978,Logistics and Supply Chain,0.917564809,54,"Professional, Scientific, and Technical Services",5416,"Management, Scientific, and Technical Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",0.996142685,
3ds.com,3ds.com,null,null,1,1077554980,Computer Software,0.863202751,51,Information,5112,Software Publishers,511210,Software Publishers,0.996067345,
airmedia.net.cn,airmedia.net.cn,null,null,1,1079756964,Media and Entertainment,0.516478837,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541850,Outdoor Advertising,0.99604553,
fico.com,fico.com,null,null,1,1073795709,Computer Software,0.855202198,51,Information,5112,Software Publishers,511210,Software Publishers,0.995898068,
opentext.com,opentext.com,null,null,1,1076139558,Computer Software,0.753066719,51,Information,5112,Software Publishers,511210,Software Publishers,0.995727778,
custhelp.com,custhelp.com,null,1,null,1076730475,Information Technology and Services,0.755424678,51,Information,5112,Software Publishers,511210,Software Publishers,0.995598257,
vmware.com,vmware.com,null,null,1,1077331748,Computer Software,0.661146224,51,Information,5112,Software Publishers,511210,Software Publishers,0.995541394,
microfocus.com,microfocus.com,null,null,1,1078057968,Computer Software,0.844261885,51,Information,5112,Software Publishers,511210,Software Publishers,0.995303035,
clearchanneloutdoor.com,clearchanneloutdoor.com,null,null,1,1074747238,Marketing and Advertising,0.897707224,54,"Professional, Scientific, and Technical Services",5418,"Advertising, Public Relations, and Related Services",541850,Outdoor Advertising,0.994878292,
marathonpg.com,marathonpg.com,null,null,1,1073890676,Legal Services,0.416457772,53,Real Estate and Rental and Leasing,5331,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),0.994663596,
servicenow.com,servicenow.com,null,null,1,1077475212,Computer Software,0.724876881,51,Information,5112,Software Publishers,511210,Software Publishers,0.994651675,
